sequenza,livello,n_eventi,n_chars,frequenza,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A2,tipo,corpus,titolo
e,lettere,6090,60000,0.1015,1.108868058263604,0.004870792587870294,1.1196308279218117,True,9.850878633601576,8.267443608349096,0.8392595133746398,-0.0873941308752219,0.9884081898687782,0.9459683645592859,lettera,wikipedia,Alexander the Great
a,lettere,4901,60000,0.08168333333333333,1.2035297791125907,0.007421263233193575,1.160418003024541,True,12.241020408163266,10.997228722686888,0.8983915029953777,-0.05352346807510427,1.021162503288681,0.962656311971586,lettera,wikipedia,Alexander the Great
t,lettere,3984,60000,0.0664,1.1778298456042553,0.013976632578659302,1.082057019344423,True,15.052975144363545,13.551655571197806,0.9002642627940634,-0.052485193327421596,1.0617203317241277,0.9906196760365528,lettera,wikipedia,Alexander the Great
n,lettere,3534,60000,0.0589,1.2319060441006198,0.006541523571040187,1.2019807599302472,True,16.97254457967733,13.99148682297984,0.8243599984255182,-0.09627485897852661,0.9224642786666758,0.9830031605331048,lettera,wikipedia,Alexander the Great
i,lettere,3453,60000,0.05755,1.0753005037960464,0.010204103926024513,1.0121052607541878,True,17.375144843568947,15.696900780906988,0.9034112188547812,-0.050745093959955266,0.9673277701855646,0.9342433723963545,lettera,wikipedia,Alexander the Great
s,lettere,3205,60000,0.05341666666666667,1.1933932881175635,0.010340905460396387,1.1330751093448845,True,18.70318352059925,17.627664017744262,0.9424953777697559,-0.02960347956980322,1.1094902247036957,1.0329240282800953,lettera,wikipedia,Alexander the Great
o,lettere,3138,60000,0.0523,1.1479282657004182,0.008613787405330062,1.0905313840900477,True,19.120816066305387,17.224296980622476,0.9008139046416043,-0.052180855325286095,1.0020055231253688,1.021130670059743,lettera,wikipedia,Alexander the Great
r,lettere,3109,60000,0.051816666666666664,1.065641292453595,0.01663352781107681,1.15043200078422,True,19.297619047619047,16.603943040342845,0.860414074885132,-0.07502949316457225,0.996280523065819,0.9944109408518566,lettera,wikipedia,Alexander the Great
h,lettere,2581,60000,0.04301666666666667,1.215250948704607,0.003647957037954565,1.199670282574097,True,23.189147286821704,20.580144326270513,0.8874903450186857,-0.05960806913701086,1.0186762454676568,0.9868733856950408,lettera,wikipedia,Alexander the Great
d,lettere,2412,60000,0.0402,1.1652543592449425,0.008261236370808377,1.115573929772454,True,24.882206553297387,22.56097819696192,0.9067113139116733,-0.04892648688224457,1.02983200054416,0.9501934810533631,lettera,wikipedia,Alexander the Great
l,lettere,1976,60000,0.032933333333333335,1.1247925679564525,0.008574632706068563,1.1031269767409784,True,30.357974683544303,28.329851790675296,0.9331930764812068,-0.034557812321775475,0.945297964680364,0.9233215311013551,lettera,wikipedia,Alexander the Great
c,lettere,1414,60000,0.023566666666666666,1.223999183348593,0.016055485493377663,1.1314912136539117,True,42.44232130219391,40.164732930498594,0.946336856660628,-0.027571354442438637,0.9494767378755574,0.9810153633239467,lettera,wikipedia,Alexander the Great
u,lettere,1188,60000,0.0198,1.028817514660931,0.004053943138392056,1.0115030078727867,True,50.38500421229992,47.713389089194656,0.9469759869057812,-0.0272340354738976,1.0535470056787861,0.988754210620629,lettera,wikipedia,Alexander the Great
p,lettere,1142,60000,0.019033333333333333,1.2167823708636063,0.009153506593736116,1.158965258600035,True,52.34268185801928,53.134759259577514,1.0151325337839348,0.007509448401152849,0.9870579617046991,0.9063857024401623,lettera,wikipedia,Alexander the Great
m,lettere,1122,60000,0.0187,1.0705927646047233,0.004729455948438843,1.0786616399686966,True,53.43978590544157,52.58671567676012,0.9840367955404817,-0.008045820770763297,0.8773249260689951,1.027594474012857,lettera,wikipedia,Alexander the Great
f,lettere,1008,60000,0.0168,1.0130729432521817,0.004552244876315706,0.9848178361439479,True,59.561072492552135,55.17045693242816,0.9262838062448757,-0.038268604821439914,0.9240471620601735,0.935344727753045,lettera,wikipedia,Alexander the Great
g,lettere,924,60000,0.0154,0.9576811913253734,0.007275317427699549,1.0027796823915185,True,64.96316359696641,61.237303324013915,0.9426465697380771,-0.029523347764516757,1.0672557225089978,0.9623005734181108,lettera,wikipedia,Alexander the Great
y,lettere,778,60000,0.012966666666666666,1.0931104874026532,0.007776063735469905,1.1138116349659695,True,76.62548262548262,77.66772684389545,1.0136017964611974,0.0067549584456578615,1.0004435526747535,0.9897537838775845,lettera,wikipedia,Alexander the Great
w,lettere,687,60000,0.01145,1.1007855154836843,0.0030583758816459163,1.0960242398281166,True,86.94169096209913,83.51201380105306,0.9605519846336876,-0.020120871915407512,0.958506688686966,1.0062042876623272,lettera,wikipedia,Alexander the Great
the,parole,712,60000,0.011866666666666666,1.2126333788378987,0.013621744297531903,1.1221959176482719,True,83.9831223628692,77.2511342500107,0.9198411785195204,-0.041752839962675335,1.0055491321720182,1.0495460363847389,funzione,wikipedia,Alexander the Great
of,parole,422,60000,0.007033333333333333,1.140379815059819,0.01082293185305325,1.069376342155429,True,142.46555819477436,137.90855105393146,0.9680132714279426,-0.016253309383858286,1.020573118252768,1.0586114428023234,funzione,wikipedia,Alexander the Great
and,parole,333,60000,0.00555,1.0378943258344893,0.011395493317274371,0.9672973533085348,True,178.98493975903614,147.37976229604064,0.8234199061354273,-0.09684006041088922,0.9676244788641203,0.8959927278961642,funzione,wikipedia,Alexander the Great
to,parole,289,60000,0.004816666666666667,1.0840938254585701,0.009489905995290185,1.0875585545461874,True,207.12152777777777,197.78016115925382,0.9548991033488978,-0.023070703021880145,0.9806404028103791,1.0252635236233896,funzione,wikipedia,Alexander the Great
his,parole,216,60000,0.0036,1.1067165770071827,0.004225589773321833,1.1252868947505987,True,276.8046511627907,295.10305340304143,1.0661058337111875,0.03199537634161106,1.0169460434567268,1.0366672946426683,funzione,wikipedia,Alexander the Great
