sequenza,livello,n_eventi,frequenza,n_chars,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A2,tipo,label,gruppo,fonte
it,parole,50,0.001,50000,1.225142896756857,0.009188075137236873,1.1934937768137945,True,935.530612244898,1190.2692640400187,1.2722932295971057,0.11983190639765502,0.9309702695962274,1.1757196543887847,appaiata,American Civil War,wikipedia,American Civil War
with,parole,46,0.00092,50000,1.091597875035254,0.008832339074224807,1.0342098200827434,True,1101.2222222222222,1376.66114350642,1.2501211070081506,0.11115895327995103,0.9378801554051764,1.0900556155793126,appaiata,American Civil War,wikipedia,American Civil War
which,parole,40,0.0008,50000,1.104180429130509,0.018062252183843722,0.9863562796123915,True,1257.0,1183.434475539198,0.9414753186469356,-0.030144437475440978,1.00912005778117,1.0059034978939903,appaiata,American Civil War,wikipedia,American Civil War
at,parole,36,0.00072,50000,0.9981580002051409,0.009003199333717645,0.998151314921744,True,1362.2571428571428,1516.1912098656785,1.1129992731663574,0.0534781410487787,1.0147669768511491,1.044656953808073,appaiata,American Civil War,wikipedia,American Civil War
but,parole,31,0.00062,50000,0.9901602131645567,0.009067280834281677,0.9362565791141648,True,1471.2,1366.1495702432667,0.9285954120739985,-0.03702414071866606,0.9806177733593567,1.033481012213299,appaiata,American Civil War,wikipedia,American Civil War
vocali,vc,15085,0.3017,50000,1.3123740558626835,0.01579141842515246,1.1960842371893907,True,3.3142402545743836,1.7693438191719688,0.5338610611375816,-0.30389906274607986,1.0391145924961471,0.9785957661438385,vocali,United Kingdom,wikipedia,United Kingdom
spazio,lettere,7832,0.15664,50000,1.1822223276470338,0.003405042368277971,1.1894164340592748,True,6.384242114672456,3.050674934784167,0.4778444927351697,-0.35332236228619274,1.0188876028379346,0.9174634332800559,spazio,United Kingdom,wikipedia,United Kingdom
e,lettere,4861,0.09722,50000,1.0559069349643755,0.0062769115543322655,1.0855011478646845,True,10.28559670781893,8.307746031146964,0.8077067638508091,-0.10637413102308943,1.0087589664061773,1.0291402671017431,lettera,United Kingdom,wikipedia,United Kingdom
t,lettere,3747,0.07494,50000,1.139929944262951,0.013332462071137566,1.1299973379144612,True,13.344634276561665,11.007826771894733,0.8248878570789108,-0.09595775556389005,0.9137906628039657,0.9008062965247466,lettera,United Kingdom,wikipedia,United Kingdom
n,lettere,3477,0.06954,50000,1.057782970295941,0.006051248871894185,1.1035593585590011,True,14.37945914844649,12.506533468185687,0.8697499216816408,-0.06966176428621705,0.9877979239251444,1.0160145039566728,lettera,United Kingdom,wikipedia,United Kingdom
a,lettere,3195,0.0639,50000,1.3061865154307544,0.007342849828256387,1.252018384003483,True,15.641202254226675,13.75965700551013,0.8797058424196196,-0.06399626732315403,0.9636684730426163,0.8703652963437909,lettera,United Kingdom,wikipedia,United Kingdom
i,lettere,3170,0.0634,50000,1.1624369217381048,0.007841051581501739,1.1021790614611136,True,15.768381192805302,14.421285735283336,0.9145698318013386,-0.044621077162948795,0.9212140097111519,1.0108328843228704,lettera,United Kingdom,wikipedia,United Kingdom
o,lettere,2819,0.05638,50000,1.1427670167741404,0.0059119797473889246,1.125468812180749,True,17.73527324343506,15.822077315526197,0.8921248124205216,-0.057012722877133,0.9640129218418311,1.0047067006832275,lettera,United Kingdom,wikipedia,United Kingdom
r,lettere,2625,0.0525,50000,1.0484072211054196,0.0075321962648358855,1.0773212297525172,True,19.04420731707317,16.42913445674471,0.862684079374412,-0.07371938276924872,1.0803781707953024,0.9558800072158773,lettera,United Kingdom,wikipedia,United Kingdom
s,lettere,2401,0.04802,50000,1.2399410591635718,0.005956082443741374,1.212676192649679,True,20.764166666666668,19.99646194563425,0.9630274244395832,-0.018834467160320938,0.945023744769308,1.0015948571323696,lettera,United Kingdom,wikipedia,United Kingdom
h,lettere,1801,0.03602,50000,1.1981085284200335,0.0063824960515800515,1.2225686304995182,True,27.75777777777778,25.005195581420633,0.9008356425938103,-0.05216882258735094,0.9884126706750188,0.9939635591427968,lettera,United Kingdom,wikipedia,United Kingdom
l,lettere,1742,0.03484,50000,1.1547798663394617,0.0033490013352314822,1.16186465622864,True,28.641010913268236,28.1348010439396,0.9823256982492148,-0.008915942403609628,0.9039565412434262,0.9358077515466855,lettera,United Kingdom,wikipedia,United Kingdom
d,lettere,1715,0.0343,50000,0.8571468429791663,0.01156229736389076,0.9127223260717237,True,29.1610268378063,27.82177408099407,0.9540738820940307,-0.02350275408049253,1.0302337835255202,0.9253443730664451,lettera,United Kingdom,wikipedia,United Kingdom
c,lettere,1380,0.0276,50000,1.2749514957640353,0.00880274423190291,1.2139079560205024,True,36.20522117476432,35.16099115895033,0.9711580268830996,-0.014631994352328469,0.9371736189961616,1.020715154284061,lettera,United Kingdom,wikipedia,United Kingdom
u,lettere,1040,0.0208,50000,1.0538062732422349,0.0038425493953829744,1.0760647930306957,True,48.106833493743984,46.47983321242566,0.9661794351621603,-0.01720115887340175,0.9553025751237684,0.9981791995594236,lettera,United Kingdom,wikipedia,United Kingdom
m,lettere,1031,0.02062,50000,1.1815197677779659,0.00706383099013544,1.1297346972284203,True,48.50873786407767,49.22785148536481,1.0148244141767222,0.007357670510846792,1.0728572939777585,1.0811508798522718,lettera,United Kingdom,wikipedia,United Kingdom
f,lettere,843,0.01686,50000,1.1541814691393673,0.0038293332445082516,1.1596074111164725,True,59.350356294536816,59.71220758532027,1.006096868045538,0.003039169315626281,0.9517955704312927,0.9871373955125001,lettera,United Kingdom,wikipedia,United Kingdom
