modello,temperature,gamma_lettere,gamma_keyword,burst_keyword,burst_lettere,quota_burst_keyword,r_gamma_lettere,r_burst_keyword
Qwen2.5-3B-v3,0.8,1.5024793714166464,1.4532048395703507,1.708022183801612,1.0233676314566795,1.0453549590045155,1.312607538366709,1.0966426267231792
Qwen2.5-3B-v3,0.9,1.7701272933633618,1.6189975644382415,3.586887647035905,1.5595107282608895,0.8662385715427439,1.5464321662843599,2.3029758795353334
Qwen2.5-3B-v3,1.1,1.163596161785704,,,0.9933762031131874,,1.0165497927165497,
Qwen2.5-3B-v3,1.2,1.0188244163580673,,,0.9906807552393134,,0.8900731914360612,
Qwen2.5-3B-v3,1.3,1.0111942860099818,,,0.9782666984874577,,0.8834072985099078,
Qwen2.5-3B-v3,1.4,1.0042426250961585,,,0.9910000868058672,,0.8773341352484049,
Qwen2.5-3B-v3,1.5,0.9899965054257687,,,0.9803155906887787,,0.8648883310479807,
Qwen3.5-2B-Base-v2,0.4,0.019965751265581214,,,0.5034398359401667,,0.01744263257048682,
Qwen3.5-2B-Base-v2,0.5,1.0735656813906798,1.6040090927188198,0.8509971055862916,0.5758134224585848,0.7187526804400609,0.9378966747453782,0.5463861711250291
Qwen3.5-2B-Base-v2,0.6,0.8869053800848045,0.6577825919769723,0.2459584718432393,0.770099235843896,,0.7748250723866195,0.15791864250067505
Qwen3.5-2B-Base-v2,0.7,1.6002933513159683,1.606808438450548,3.803404813691362,1.857279470101789,0.9944014204149971,1.3980605368011854,2.441991611663131
Qwen3.5-2B-Base-v2,0.8,1.6541440618918675,1.5183434559345699,1.863359697686985,0.8988857963227694,0.9846189683980546,1.4451060071038373,1.1963777126438724
Qwen3.5-2B-Base-v2,0.9,1.4264648266259305,1.3907365011110693,2.0129489710459856,1.0126932907316062,0.7890509937494691,1.246199129428801,1.2924221172316994
Qwen3.5-2B-Base-v2,1.0,1.3143395460012899,1.4447443893242873,1.8475350651314983,1.0953769963330342,0.8083138731495175,1.148243382821367,1.1862174426092336
Qwen3.5-2B-Base-v2,1.1,1.1864384518142608,,,1.01435480596437,,1.0365054491171912,
Qwen3.5-2B-Base-v2,1.2,1.039338685872246,,,0.9894184056511821,,0.9079950247208726,
Qwen3.5-2B-Base-v2,1.3,0.99172166781134,,,0.985119699804975,,0.8663954806270611,
Qwen3.5-2B-Base-v2,1.4,1.0078544922609107,,,0.9940219559116745,,0.8804895623099843,
Qwen3.5-2B-Base-v2,1.5,1.0011783376067096,,,0.9884578861711107,,0.8746570889375587,
Qwen3.5-4B-Base,0.4,0.42726319510197136,0.1004075584372676,0.03142572658447743,0.6196522074517704,,0.3732689456020307,0.020177016244356142
Qwen3.5-4B-Base,0.5,0.8391225920623796,0.2107323577408925,0.37711314693757203,0.645994653689897,,0.7330807070691268,0.2421270378988815
Qwen3.5-4B-Base,0.6,0.6923076723112027,0.45481976050463463,0.2985519538165713,0.6599671727579305,-2.141853598566567,0.6048191321841438,0.19168650264133238
Qwen3.5-4B-Base,0.7,1.2656626491248006,1.561999435956751,0.8481120733159664,0.7521810516882764,0.7122695554189498,1.1057178992773664,0.5445338243597965
Qwen3.5-4B-Base,0.8,1.6336745789603042,1.6356292453291665,1.1484804140252356,0.8757318757003859,0.7792734857975123,1.427223300616423,0.7373865456322711
Qwen3.5-4B-Base,0.9,1.7552145760971862,1.415065343273008,1.8149699584523937,1.517826276886486,0.8968500679164162,1.5334040039857606,1.1653088827165232
Qwen3.5-4B-Base,1.0,1.3219534744883619,1.0947355767949807,1.3638760887591013,1.2079503110480099,1.248522244972261,1.1548951213535854,0.8756822192863518
Qwen3.5-4B-Base,1.1,1.0552951309626375,,,0.9615478708763022,,0.921935016516856,
Qwen3.5-4B-Base,1.2,1.0080961113638456,,,0.9652822624411267,,0.8807006474416402,
Qwen3.5-4B-Base,1.3,1.0526254828973254,,,0.9794234938042091,,0.9196027381229033,
Qwen3.5-4B-Base,1.4,0.9964221760102164,,,0.9790929157006624,,0.8705019746085274,
Qwen3.5-4B-Base,1.5,0.9869005937584119,,,0.9807164881021934,,0.8621836569805701,
