corpus,titolo,sequenza,tipo,n_eventi,mean_tau,cv_tau,J
letterario,wrnpc_1,vocali,vocali,17645,3.4003060530491953,0.45496040402752086,-0.7008043011440444
letterario,wrnpc_1,spazio,spazio,9773,6.139480147359803,0.5440487511529211,-0.9642083736572957
letterario,wrnpc_1,e,lettera,5856,10.246285226302305,0.8450444022135941,-0.31566816538985554
letterario,wrnpc_1,t,lettera,4200,14.284353417480352,0.8989562094705408,-0.2517538966350668
letterario,wrnpc_1,a,lettera,3648,16.44941047436249,0.8401409068182365,-0.4150627442790172
letterario,wrnpc_1,i,lettera,3496,17.1447782546495,0.8487490889838653,-0.4105150668973661
letterario,wrnpc_1,o,lettera,3449,17.382830626450115,0.9521890990216423,-0.13933949413316926
letterario,wrnpc_1,n,lettera,3407,17.600411039342337,0.8531490513381449,-0.32137243067322796
letterario,wrnpc_1,h,lettera,3154,19.01966381224231,0.8227138116203104,-0.4058067515901239
letterario,wrnpc_1,s,lettera,3070,19.544802867383513,0.9699730984419219,-0.06108208550114857
letterario,wrnpc_1,r,lettera,2753,21.773255813953487,0.9019808408221919,-0.17398316953793164
letterario,wrnpc_1,d,lettera,2063,29.094568380213385,0.9105482916659406,-0.22943558795993174
letterario,wrnpc_1,l,lettera,1889,31.760593220338983,1.069188478068571,0.0861649296216964
letterario,wrnpc_1,u,lettera,1196,50.07866108786611,0.9716862375146026,-0.16192782404570985
letterario,wrnpc_1,c,lettera,1167,51.417667238421956,0.9724186522158524,-0.14027794974385277
letterario,wrnpc_1,m,lettera,1167,51.38250428816467,1.0223962378403473,-0.057292183332110704
letterario,wrnpc_1,w,lettera,1109,54.1471119133574,0.9505488070290299,-0.15233648822708498
letterario,wrnpc_1,g,lettera,943,63.56581740976645,0.9432699081351025,-0.10279168794322377
letterario,wrnpc_1,p,lettera,943,63.35774946921444,1.0349541068346544,0.03006122931690621
letterario,wrnpc_1,y,lettera,916,65.48633879781421,0.9652619300381813,-0.20437543309211167
letterario,wrnpc_1,f,lettera,876,68.29371428571429,1.090905281163703,-0.009312403859564639
letterario,wrnpc_1,the,funzione,630,94.75516693163752,0.97176486086139,-0.38495336552333387
letterario,wrnpc_1,and,funzione,392,153.12020460358056,0.8026523314093944,-0.5289348198455349
letterario,wrnpc_1,to,funzione,282,212.3914590747331,1.047497965988749,-0.15347485436673142
letterario,wrnpc_1,of,funzione,244,245.91358024691357,1.1480268430432092,0.015434240206187184
letterario,wrnpc_1,in,funzione,161,367.20625,1.1249963210352751,-0.1695640752202265
letterario,wrnpc_1,that,funzione,161,372.93125,0.8961337215920687,-0.2766559220162136
letterario,wrnpc_1,pierre,keyword,94,567.4086021505376,2.3480119544020477,-0.06250655477023002
