sequenza,livello,n_eventi,n_chars,frequenza,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A2,tipo,corpus,titolo
vocali,vc,18093,60000,0.30155,1.2656809862085732,0.0035591318576744663,1.2549982137587266,True,3.3162171125359277,1.739739647530847,0.5246157258384266,-0.31180596271243816,0.9577331325034989,1.0165305950782004,vocali,wikipedia,Industrial Revolution
spazio,lettere,9332,60000,0.15553333333333333,1.216932858376328,0.008363734516271119,1.2543545140657468,True,6.429107276819205,3.0488669985199555,0.47422867083163367,-0.356641638825116,1.0112967758198173,0.9500974875551814,spazio,wikipedia,Industrial Revolution
e,lettere,5532,60000,0.0922,1.2474881033375276,0.006223942090493646,1.207906233603157,True,10.842162357620683,9.359943197558387,0.8632911857273119,-0.0733695384381511,1.0358390797227681,0.9835869488328237,lettera,wikipedia,Industrial Revolution
t,lettere,4044,60000,0.0674,1.0503451551385496,0.009451581057431527,1.1145638730975849,True,14.833539450902794,12.951504071214822,0.8731229733862724,-0.06773555629631542,0.9589334831064583,0.9965684660875964,lettera,wikipedia,Industrial Revolution
n,lettere,3915,60000,0.06525,1.0003594167983676,0.0069681062191766134,0.966837143555643,True,15.326009197751661,13.23560327435832,0.8636040278704775,-0.0731893525071315,0.9752919077032001,0.9959370375092668,lettera,wikipedia,Industrial Revolution
a,lettere,3831,60000,0.06385,1.084260948138823,0.005017313836521887,1.1077844189300425,True,15.662402088772845,13.538300484961093,0.8643821304182737,-0.07274145539643227,0.9126513398246133,0.9563300759964685,lettera,wikipedia,Industrial Revolution
i,lettere,3662,60000,0.061033333333333335,1.0841896987487436,0.015480936338497554,1.0209541359544276,True,16.385140671947557,14.547500411104318,0.8878471477520239,-0.05940780342387542,0.9000738613573017,0.9854581263856012,lettera,wikipedia,Industrial Revolution
o,lettere,3619,60000,0.060316666666666664,1.248233790968205,0.011916658113947636,1.164884284031057,True,16.57739082365948,15.538769822253935,0.9373471366843078,-0.03233951320821111,0.9978256263240596,1.0218350569294687,lettera,wikipedia,Industrial Revolution
r,lettere,3128,60000,0.05213333333333333,1.1904519207462927,0.006749018191588391,1.146292272207392,True,19.180364566677326,16.031701184256473,0.8358392317583405,-0.08942001314811678,0.9621914352288803,1.0592668782014958,lettera,wikipedia,Industrial Revolution
s,lettere,3013,60000,0.050216666666666666,1.1102636376737607,0.00897866785347642,1.0902792286967322,True,19.904050464807437,17.7230180980253,0.8904226870486264,-0.05796445086175322,1.0255928443917048,0.9669195119004447,lettera,wikipedia,Industrial Revolution
d,lettere,2164,60000,0.036066666666666664,1.0232578424623373,0.01583210089196488,1.1014449646221156,True,27.728155339805824,24.377657641969385,0.8791662244827895,-0.06430180254568382,1.024929057390948,1.0067935476042174,lettera,wikipedia,Industrial Revolution
l,lettere,2044,60000,0.03406666666666667,1.1629160503740725,0.0021908997726075444,1.1618284103017786,True,29.36123348017621,28.65201575291012,0.9758450976610049,-0.012225099208227182,0.9834874290683572,1.0381813957835708,lettera,wikipedia,Industrial Revolution
h,lettere,2025,60000,0.03375,1.216614885779399,0.008695191776077707,1.1912162440946144,True,29.62401185770751,26.86390217836929,0.9068286330495745,-0.04886195085156514,0.9108296664688731,1.0264775949759464,lettera,wikipedia,Industrial Revolution
c,lettere,1790,60000,0.029833333333333333,1.180348491962468,0.006498552762789576,1.1390571575686645,True,33.427613191727225,33.38007245476251,0.9985778004342686,-0.0007116058055995668,0.9709869766841738,0.9940977844597603,lettera,wikipedia,Industrial Revolution
u,lettere,1449,60000,0.02415,1.0915223705947723,0.007031700907496205,1.0496013124780768,True,41.42955801104972,41.0128404970598,0.9899415409191964,-0.005054650538204951,1.0331929420199344,1.0015181386506644,lettera,wikipedia,Industrial Revolution
m,lettere,1222,60000,0.02036666666666667,1.180005979668538,0.016220155308466974,1.0914925270510685,True,49.07780507780508,47.961524953175804,0.977254888989848,-0.011503378313441491,0.9396042111795729,1.002515076438544,lettera,wikipedia,Industrial Revolution
p,lettere,1118,60000,0.01863333333333333,1.0776613951347958,0.010979280413871109,1.133074988028561,True,53.572963294538944,56.48301441236183,1.0543193980482974,0.026441554365841786,1.005552360741529,1.094215278238788,lettera,wikipedia,Industrial Revolution
w,lettere,1047,60000,0.01745,1.2971774668236138,0.012369262881508776,1.2241770501890266,True,57.2208413001912,60.73741416211386,1.0614561544713064,0.029812011445408466,0.9172463611310454,1.0185476352787746,lettera,wikipedia,Industrial Revolution
f,lettere,1015,60000,0.016916666666666667,1.128089993024686,0.005251138646028221,1.152961936042722,True,59.07297830374753,57.48902294127009,0.9731864651493802,-0.01358895133541768,0.9812559039250631,0.9873297590435245,lettera,wikipedia,Industrial Revolution
g,lettere,954,60000,0.0159,1.0782091504795446,0.004849000561361675,1.070207570756173,True,62.773347324239246,63.62723839173976,1.0136027646110692,0.006755436002640038,0.9936526660328312,1.0050493799736302,lettera,wikipedia,Industrial Revolution
b,lettere,751,60000,0.012516666666666667,1.1572279424306575,0.0032295179998679253,1.1541984619092178,True,79.82266666666666,80.93168602774367,1.0138935393590418,0.006898844992304617,0.9886957267359211,1.0569830204037927,lettera,wikipedia,Industrial Revolution
the,parole,675,60000,0.01125,1.031701384028829,0.01518782738256256,1.1228218534228376,True,88.72255192878339,86.22294883159859,0.971826744803382,-0.014287895866544406,0.9693740761024042,0.9640495087697095,funzione,wikipedia,Industrial Revolution
and,parole,368,60000,0.0061333333333333335,1.1994242107837991,0.00961868113819696,1.1340349727538028,True,162.6457765667575,153.5390335995093,0.9440087338295542,-0.028801962252580606,1.017686725759822,0.9986462365189022,funzione,wikipedia,Industrial Revolution
in,parole,332,60000,0.005533333333333334,1.0886326609760681,0.005048877248133929,1.0610296013214886,True,180.62839879154077,176.97951681729415,0.9797989574249744,-0.010203582792719572,0.9893658501435469,0.9632463697367478,funzione,wikipedia,Industrial Revolution
of,parole,331,60000,0.005516666666666666,1.0668989130434636,0.0028635074214149805,1.0562669389265982,True,181.0939393939394,178.08102462345215,0.9833626968380584,-0.008388432024291523,0.9128146221340807,1.0104185595697026,funzione,wikipedia,Industrial Revolution
to,parole,200,60000,0.0033333333333333335,0.7853079772259387,0.017064221232251296,0.8679137983429024,True,300.4221105527638,257.52727170198995,0.8572181029823365,-0.07687944500884585,0.9976680920830526,0.8884022738289351,funzione,wikipedia,Industrial Revolution
was,parole,177,60000,0.00295,1.1935915608197103,0.009761945646375171,1.1345555218101435,True,336.6931818181818,407.3656934276844,1.2099018198938953,0.09498241867775532,0.9203385132493453,1.1355485828757421,funzione,wikipedia,Industrial Revolution
