modello,temperatura,n_token,alpha,MAPE,beta,R,TTR,alpha_DFA,alpha_DFA_mescolato,R_gzip,compr_condizionata,prefix_trend,NCD_shuffle,H_bit_char,H_parola_norm,D_s_umano,LCS_umano,rip_8gram,dist_rip_media,quota_non_ascii,max_fft,gapelmaper,copertura
Qwen2.5-3B,1.4,20000.0,1.3791,0.7055,0.8128,0.6883,0.4579,0.51,0.4974,0.7077,0.6923,-0.0075,0.9752,4.1512,0.9962,1.359,14.6,0.0,1002.8707,0.1673,0.0156,0.9699,0.2686
Qwen2.5-3B,1.5,20000.0,1.3589,0.7039,0.8065,0.6883,0.4735,0.5219,0.4881,0.7059,0.6908,-0.0042,0.9749,4.1579,0.9964,1.415,15.0,0.0,1104.0945,0.1632,0.0162,0.9894,0.276
Qwen3.5-2B-Base,0.4,20000.0,0.2957,0.5942,-0.0,0.0,0.003,0.181,0.5013,0.0088,0.0044,-0.0,1.0201,0.001,0.6955,2.3578,20.2,0.9927,16.395,0.0092,10.9207,1.0048,1.0
Qwen3.5-2B-Base,0.5,20000.0,0.3494,0.4253,0.0011,0.0039,0.0067,0.8017,0.4968,0.0128,0.0045,-0.0052,1.0308,0.0191,0.4582,1.9492,25.6,0.9811,8.7776,0.0204,22.4787,1.0528,0.9999
Qwen3.5-2B-Base,0.6,20000.0,0.4313,0.4734,0.0019,0.0,0.0098,0.6294,0.5005,0.0192,0.0051,-0.0023,1.0187,0.0018,0.581,1.8372,25.0,0.9692,27.3358,0.0224,9.8599,0.9114,0.9998
Qwen3.5-2B-Base,0.7,20000.0,0.5089,0.2914,0.1034,0.0748,0.0241,0.7342,0.489,0.0418,0.0116,-0.0002,1.018,0.2246,0.4888,1.458,27.4,0.9121,18.7131,0.0139,21.2382,1.0288,0.9885
Qwen3.5-2B-Base,0.8,20000.0,0.555,0.2172,0.1454,0.0002,0.0329,0.8288,0.4917,0.0703,0.0068,-0.0019,1.0153,0.0261,0.4532,1.2619,27.0,0.8359,25.187,0.0213,16.3363,1.0788,0.9992
Qwen3.5-2B-Base,0.9,20000.0,0.816,0.1575,0.5337,0.0754,0.0985,0.6729,0.5023,0.2309,0.1008,-0.0004,0.9832,2.078,0.6554,0.2321,29.4,0.314,201.2633,0.0119,4.0933,0.9835,0.9907
Qwen3.5-2B-Base,1.0,20000.0,0.9886,0.185,0.6425,0.2854,0.1882,0.7614,0.4977,0.4323,0.3928,-0.0132,0.9807,5.7652,0.8198,0.5474,21.0,0.0151,322.8445,0.1391,0.1663,1.5101,0.7523
Qwen3.5-2B-Base,1.1,20000.0,1.2854,0.5462,0.6694,0.4802,0.2765,0.6703,0.4727,0.7636,0.759,-0.0121,0.9259,5.2171,0.9825,1.0737,19.6,0.0001,550.7057,0.2907,0.0699,1.4957,0.2869
