modello,temperatura,sample_id,alpha_o1,alpha_o2,alpha_o2_mescolato,deriva
Qwen2.5-1.5B,1.2,2,0.5243614081380016,0.5314354360557657,0.5105161395146977,0.14359527455825047
Qwen2.5-1.5B,1.2,3,0.6287751279138001,0.5973777539201609,0.49605076176497565,0.13651242057842874
Qwen2.5-1.5B,1.2,4,0.6044626785051243,0.5595313071100788,0.475022553620006,0.18313381804824877
Qwen2.5-1.5B,1.3,1,0.5083108589353976,0.5132154934287236,0.5316982648597306,0.1396952189926674
Qwen2.5-1.5B,1.3,3,0.4993490694182244,0.502251103901311,0.48513615054646886,0.09960582960421026
Qwen2.5-1.5B,1.3,2,0.5710820916154724,0.5671089891930479,0.5026316619272995,0.10774062710451955
Qwen2.5-1.5B,1.2,5,0.5655118936700753,0.5558962751111135,0.49691018651185614,0.12488273511701677
Qwen2.5-1.5B,1.3,4,0.5787210545830582,0.523021215381605,0.4931972462781913,0.14289378405642697
Qwen2.5-1.5B,1.3,5,0.5356660160056953,0.5358716246737332,0.4980208615786935,0.10847812950692425
Qwen2.5-1.5B,1.4,1,0.5004487346853705,0.5111548362097891,0.4916831786016877,0.12084857058492676
Qwen2.5-1.5B,1.4,3,0.5413855748185049,0.5260588224957548,0.5153393060203284,0.11700399260682755
Qwen2.5-1.5B,1.4,2,0.5188406361095893,0.5065378583928511,0.5088441199081714,0.12309389764841613
Qwen2.5-1.5B,1.4,4,0.4824920941192488,0.49595368104633225,0.4973759066521938,0.09975446092921793
Qwen2.5-1.5B,1.4,5,0.5110598792852242,0.5131676413813038,0.5103682631239602,0.1356860582179448
Qwen2.5-1.5B,1.5,1,0.47778691077803986,0.4924230092003765,0.5017986675670457,0.1202868247513108
Qwen2.5-1.5B,1.5,2,0.5546821728543079,0.5284347804240895,0.5100765619563196,0.1411106966014316
Qwen2.5-1.5B,1.5,3,0.5240532557232662,0.5246079659434558,0.47178302399668137,0.1250676255972062
