modello,temperatura,sample_id,copertura,C_lag1,ampiezza,rumore,max_fft,gapelmaper,fase
Qwen2.5-1.5B,1.5,2,0.34521384928716903,0.0007509827264584601,0.001965993084013462,0.0021900362335145473,0.013473335107846993,0.9875155792114638,non valutabile
Qwen2.5-1.5B,1.5,3,0.29947152084556666,0.002450070809572935,0.002450070809572935,0.0018161203479394317,0.02082216539414776,0.9950119089886338,non valutabile
Qwen2.5-1.5B,1.5,4,0.30227140361094934,0.0014407450798898935,0.0019756134133785963,0.0027639304753392935,0.015567544825707129,0.9891692460197823,non valutabile
Qwen2.5-1.5B,1.5,5,0.3154716981132075,0.0012650573626160622,0.0026390047278255224,0.0019352275412529707,0.013634940411066053,0.9412559971633045,non valutabile
Qwen2.5-3B,0.4,1,0.9999355005159959,0.03969833254814148,0.9877951145172119,0.010762549005448818,3.3043836625589704,0.9858602415055964,solido (periodico)
Qwen2.5-3B,0.4,2,0.9998811363366219,0.0017477538203820586,0.9883086681365967,0.012096565216779709,13.136080537658048,0.9792712538457337,solido (periodico)
Qwen2.5-3B,0.4,3,0.9998233319592486,0.013183468021452427,0.9858819842338562,0.010389982722699642,7.250398939920656,1.0829540648464788,solido (periodico)
Qwen2.5-3B,0.4,4,0.9998357154591753,0.015199515037238598,0.9864715933799744,0.007229156792163849,6.197751316503234,0.9943335422847008,solido (periodico)
Qwen2.5-3B,0.4,5,0.9920355744341939,0.045510973781347275,0.24477256834506989,0.011722811497747898,1.863959104849159,0.9953543820105265,critico (power law)
Qwen2.5-3B,0.5,1,0.9995803860448388,-0.061000119894742966,0.9728882908821106,0.009410168044269085,14.234923768079007,1.0631270019981687,solido (periodico)
Qwen2.5-3B,0.5,2,0.9998713495432909,-0.0631137415766716,0.9955260157585144,0.017649544402956963,17.47551380627711,0.7770712788092284,solido (periodico)
Qwen2.5-3B,0.5,3,0.9998726601298866,-0.029007598757743835,0.9873542189598083,0.018583497032523155,6.0947883521614905,1.0209599269466556,solido (periodico)
Qwen2.5-3B,0.5,4,0.9982251055756166,0.09120025485754013,0.9460339546203613,0.011446991004049778,7.885756513007048,1.0627060731065938,solido (periodico)
Qwen2.5-3B,0.5,5,0.9995926680244399,0.05173862352967262,0.9836437702178955,0.013433300890028477,13.437720392099198,1.0004970442350405,solido (periodico)
Qwen2.5-3B,0.6,1,1.0,-0.13395753502845764,0.9862560629844666,0.026830999180674553,5.644056962422854,1.001610952461925,solido (periodico)
