modello,temperatura,sample_id,n_continuations,n_token,n_tipi,n_char,n_parole,alpha,MAPE,alpha_rango,beta,R,TTR,TTR_parole,rip_8gram,dist_rip_media,dist_rip_sd,alpha_DFA,alpha_DFA_mescolato,R_gzip,compr_condizionata,prefix_media,prefix_trend,prefix_var,gap_shuffle,NCD_shuffle,H_char_norm,H_parola_norm,quota_non_ascii,H_bit_char,D_s_umano,LCS_umano,alpha_DFA_o2,scarto_ordine
Qwen2.5-1.5B,0.9,4,0,20000,1844,83403,15712,0.6725222772838437,0.16457630912151291,1.0601994143998938,0.47882227977662734,0.0016295491580662683,0.0922,0.08184826883910387,0.6850047755491881,71.54685983640648,316.07398164981964,0.7494083754443219,0.521616924383273,0.14122251255801743,0.008033187856697521,0.4429212188352632,-0.0009746436692008404,0.13006527665114093,0.1111027017502465,0.9740628458688225,0.6779066312251325,0.5496212593164472,0.0025778449216455044,0.20177262254233785,0.18496899840360803,24,0.6696128133606452,-0.07979556208367677
Qwen2.5-1.5B,0.9,5,1,20000,3312,72277,13058,0.8484714248878829,0.1203827095084275,0.9280037707945273,0.5846640330525217,0.5061391541609823,0.1656,0.1863225608822178,0.1309478200904145,439.58531764705884,1443.5958783019266,0.8012301766185121,0.47388656086719105,0.3209929175548374,0.2915463917525773,0.4374800347093801,-0.0008626699533898893,0.12095972732824539,0.04677394954152747,0.9710252891589884,0.669549174937402,0.6604858957900216,0.0033067227472086554,2.1451354735643635,0.21918826310827533,24,0.7344878886965326,-0.06674228792197956
Qwen2.5-1.5B,1.1,2,4,20000,8418,50163,5625,1.511652397284707,0.5693775490505875,0.7500193776112897,0.7768063793425516,0.6412556053811659,0.4209,0.8983111111111111,0.0,973.2167832167833,1203.5740083453438,0.7147381636657861,0.4862734624228894,0.6906725448183374,0.6718443081200326,0.6657734870371205,0.0015077334040310775,0.04186406721952144,-0.0022864821656350953,0.9775922867473106,0.5738451071242494,0.9868858003064221,0.17431174371548752,4.183507138861601,1.0090058862916815,21,0.6384562167051401,-0.07628194696064605
Qwen2.5-1.5B,1.0,1,7,20000,8100,49755,5197,1.5961759036381504,0.4328290839557044,0.7805117371090062,0.8703636295231875,0.6245487364620939,0.405,0.8620357898787763,0.0,451.22175732217573,718.126422653387,0.5923668541676114,0.4945999614463551,0.6907531259086944,0.6840558872253305,0.6271844859646819,-0.0009382134566387047,0.11978501140340922,0.000599423980440883,0.983138052807596,0.5629036374374883,0.9782712135784534,0.14736207416340066,4.250216366783264,0.7999909180956046,19,0.5740320971446391,-0.01833475702297227
Qwen2.5-1.5B,1.1,3,6,20000,8298,48155,4794,1.4889655687884862,0.584008667515864,0.7380716820775863,0.7601051713315474,0.6655961461260538,0.4149,0.9372131831455986,0.0,944.358803986711,958.661264176485,0.6788593741330833,0.499298418687298,0.7031391535217867,0.6784848389432917,0.7461534190474352,-0.003629146268925387,0.1194255999948069,0.004347220315981781,0.9778108480298521,0.5913373403392245,0.9938097335098712,0.19227494548852664,4.189851971314191,1.2822975814330129,21,0.6193040455590281,-0.05955532857405521
Qwen2.5-1.5B,1.1,1,6,20000,7662,46340,4796,1.4457113279687053,0.451645834046303,0.8510092060832136,0.745800158705757,0.6787905346187555,0.3831,0.9345287739783152,0.0,923.4904458598726,989.8078570398211,0.691285123093891,0.5030995335521082,0.6909244259138433,0.6638434579439252,0.683357265327504,0.002797391666436013,0.04648567980288141,-0.0016944512531805733,0.9748715940760532,0.5989002297419337,0.9938355294160408,0.20030211480362536,4.1528616198541,1.186113702263137,22,0.672864257260464,-0.018420865833427058
Qwen2.5-1.5B,1.1,5,0,20000,8195,50445,4679,1.544849218549934,0.41353557000099056,0.7258994367462918,0.7740605004499822,0.5959104186952289,0.40975,0.9245565291729002,0.0,759.2124645892351,864.0854981192148,0.6043420392202282,0.4855062065862138,0.6900821380409464,0.6725968957066352,0.6818611390868001,7.619068979149512e-05,0.07285521873862877,-0.003152754772826394,0.9766166281755196,0.5891566682965655,0.9918330541305503,0.17242541381702844,4.195467353030733,1.2466910492403183,17,0.5730409659142744,-0.031301073305953775
Qwen2.5-1.5B,1.0,4,8,20000,6388,59777,6964,1.2815496155639168,0.2306800581339198,0.8858522375669073,0.8492652102181532,0.586292525453191,0.3194,0.6698736358414704,0.0010061808250683146,670.2353197042193,1059.4141605162777,0.6243809247771593,0.49694413307635554,0.5431232991417208,0.5401841835988891,0.6229206762031185,-1.0223678442396118e-05,0.055807609757493305,0.10431724902434136,0.9930071855298296,0.49150164628516096,0.9426506400319865,0.06718303026247553,3.1784907874718034,0.7093561088778366,24,0.6334919280665151,0.009111003289355768
Qwen2.5-1.5B,1.0,5,17,20000,5896,37658,4631,1.3616847937085457,0.3681489372322515,0.873308811537778,0.7734802229122273,0.46776201145133184,0.2948,0.7892463830706111,0.0,334.2469262295082,651.0944502027446,0.9062871575270475,0.4854584027932474,0.6751742255628124,0.6554852900742371,0.6065176862042444,0.0011166057441595123,0.05566028414199813,0.016538931108503352,0.9916506795644303,0.6357679174941454,0.9525549773093586,0.2558022199798184,4.841154218199821,1.5481905166381993,25,0.7921687100610282,-0.11411844746601929
Qwen2.5-1.5B,1.0,3,19,20000,5786,42631,4823,1.3893695128297374,0.3418883677182031,1.0219734319602336,0.7684263461426778,0.4304079110012361,0.2893,0.7756583039601908,0.0,386.3927911275416,669.7822928662167,0.7689032053260945,0.48460815533519175,0.642090584954284,0.6273683533309744,0.6646401968467639,-0.00023122449151458872,0.1303473537121684,0.0556745144772427,0.9958215355856722,0.5931078005268823,0.9539684371128987,0.1721751776875982,4.306588847818103,1.0737450357329448,26,0.7079548268994207,-0.06094837842667378
Qwen2.5-1.5B,1.2,1,2,20000,8910,52956,5177,1.4940664074079795,0.6427160167871131,0.7331132099574923,0.7935001260544865,0.7217391304347827,0.4455,0.9358701950936836,0.0,1078.9096385542168,1048.1101513796966,0.6249400765816845,0.488558237591994,0.6939265411917175,0.6652969406118776,0.710917420027411,0.0011532696989411332,0.04021070159965602,-0.001757937919248942,0.9762303953819054,0.5774308306173008,0.9940509733474104,0.1704056197598006,4.0074507961001125,1.193050039703272,20,0.5701423975016428,-0.05479767908004174
Qwen2.5-1.5B,1.0,2,27,20000,5590,53970,6764,1.2574237003856583,0.21911712369220737,1.0399199996019848,0.8176345720114113,0.22560841920631441,0.2795,0.5666765227675932,0.0023679147550688118,352.5527123848516,615.6445625788767,0.7879778572720856,0.4903330492389883,0.510928186204939,0.3793867218962145,0.5831222634805162,-0.0008952197353487599,0.0776793629726917,0.1213698263787023,1.0051169590643274,0.5036303949450783,0.9121872113531125,0.12716323883639058,2.658686185135284,0.3283199721664041,23,0.7467803726763774,-0.041197484595708156
Qwen2.5-1.5B,1.2,2,4,20000,8858,53067,5442,1.4931618781928555,0.5099639372760654,0.7158172171371253,0.8020894636687071,0.6763815291445874,0.4429,0.9329290701947813,0.0,1264.6027397260275,1148.033846808164,0.5243614081380016,0.5064631201436132,0.6897752036622643,0.6672244238954939,0.7547043976040382,-0.013566751331171087,0.10753033251668312,-0.0046034054237679145,0.9734956108731606,0.5819122697911876,0.9945018145091661,0.1743833267378974,4.107252181097799,1.334551323482032,17,0.5314354360557657,0.007074027917764125
Qwen2.5-1.5B,1.2,3,2,20000,8550,50133,4600,1.489319684050752,0.5458344825744401,0.7163924533420492,0.7911139884070278,0.6553727008712488,0.4275,0.9584782608695652,0.0,1113.0628272251308,1021.9498641560414,0.6287751279138001,0.48300347068659855,0.6999575010624735,0.6722361119580462,0.7250838441012013,-0.001596105147444987,0.03565896439047472,-0.0031909756000043643,0.9751279382426924,0.5916519812580437,0.9968266037720012,0.18714220174336266,4.211414237401147,1.3706202781707362,15,0.5973777539201609,-0.03139737399363918
Qwen2.5-1.5B,1.2,4,1,20000,8983,53011,5507,1.5050389678376412,0.6825449655879242,0.7899058644607272,0.792647630128777,0.6410303251735476,0.44915,0.9313600871617941,0.0,1242.6825396825398,1208.7637874820464,0.6044626785051243,0.46058279400333857,0.685170012290045,0.6637150215585844,0.7056019821845043,-0.0029149639659209613,0.04368980381713405,-0.0014143971027238411,0.9764680760196456,0.5750094960001755,0.994124950503897,0.18000037728018714,4.051847781990887,1.1468077901023699,19,0.5595313071100788,-0.04493137139504544
