sequenza,livello,n_eventi,frequenza,n_chars,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A1_sd,gamma_A2,gamma_A2_sd,cv_tau_A2,quota_burstiness,tipo,wordset,label,gruppo,modello,temperature,sample_id,degenerato,params_B,deg_ripetizione,deg_alfabeto,deg_lessico,kgram_unique,lat_frac,voc_ref,n_continuations,file
i,lettere,2565,0.0513,50000,1.1100104974592042,0.0025599257770990503,1.127600083842373,True,19.485959438377535,17.439628819199562,0.8949843539575614,-0.05541768501841178,0.9164605849636641,0.03240140366591657,1.0110625245279494,0.05140582890853892,0.8949843539575614,0.10055880832692171,lettera,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
h,lettere,2846,0.05692,50000,1.1709355940809683,0.002082143960179457,1.1602254199622848,True,17.569068541300528,13.642121599187435,0.776485194255927,-0.1258185581657444,1.0375624490338866,0.026760818363761048,0.960589635950509,0.07205999279092158,0.776485194255927,-0.23055680276176577,lettera,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
s,lettere,2195,0.0439,50000,1.2347626032203725,0.006981948589500626,1.1842335833099582,True,22.767547857793982,21.23521936438324,0.9326968146512018,-0.03482345748106618,0.9911393202127193,0.10385274437573316,0.9698223695088255,0.06338073101296417,0.9326968146512019,-0.12854530524542981,lettera,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
r,lettere,2202,0.04404,50000,1.22297075686191,0.004817855465287617,1.185740297105389,True,22.703316674238984,21.656484078239373,0.9538907635822464,-0.023598676690204132,1.0033378715697092,0.06867179159797525,0.9109050980468125,0.04539645222854537,0.9538907635822463,-0.3995811074380739,lettera,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
d,lettere,1736,0.03472,50000,1.3460940116252496,0.01944829788085117,1.1989947911728103,True,28.72507204610951,27.812395270111065,0.9682271719098419,-0.01614286630304359,0.9852763902162328,0.039871566974733166,1.048089375165502,0.0556854191332433,0.968227171909842,0.13894887964017477,lettera,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
l,lettere,1509,0.03018,50000,1.3128954101466708,0.018026340115774173,1.1846229175266958,True,33.13726790450929,32.07246052793119,0.9678667722503098,-0.016328965051300163,0.9183651059800985,0.07656895264973523,0.9863360351710034,0.040798259790617075,0.9678667722503098,-0.04366943197598053,lettera,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
u,lettere,799,0.01598,50000,1.2086921104738617,0.004883799249335753,1.1896418460409905,True,62.59899749373434,65.99147961425618,1.0541938730066946,0.026382063406396945,0.897506054577934,0.04151672174385723,0.9818666191267456,0.033101703387440874,1.0541938730066946,-0.08689059127381635,lettera,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
m,lettere,1049,0.02098,50000,1.2389441932580532,0.00811835144094048,1.1931861165975244,True,47.62881679389313,46.60886661072357,0.9785854394077591,-0.01082316697865257,0.9149004876919463,0.07983841787921613,0.9845361120891177,0.033854741567766355,0.9785854394077592,-0.06471757149662848,lettera,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
w,lettere,898,0.01796,50000,1.1240723152990384,0.01099478542161604,1.0945936632553601,True,55.59754738015607,54.94457144684943,0.9882553104574591,-0.005907032905064236,0.977234385267458,0.020148031894794256,0.9353202656313581,0.01055198583380018,0.9882553104574591,-0.521306741256107,lettera,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
c,lettere,768,0.01536,50000,1.0837465429991673,0.006666734895558295,1.0425972310980718,True,65.04432855280312,71.82981857551675,1.1043210095897162,0.04957466523135459,0.9801506434722936,0.04678320151753331,1.0053022422986901,0.025238006504757413,1.1043210095897162,0.06331296921405893,lettera,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
