sequenza,livello,n_eventi,n_chars,frequenza,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A2,tipo,corpus,titolo
by,parole,153,80000,0.0019125,1.0041749562795874,0.00850965570430015,1.0348464996379236,True,510.94736842105266,496.9797761215477,0.9726633442840343,-0.013857739991558132,0.9610545484311227,0.9983327691638175,funzione,wikipedia,World War II
soviet,parole,130,80000,0.001625,1.3595746776305624,0.0081139620228775,1.3122760786275864,True,606.1705426356589,928.4308597375383,1.5316330874487498,0.20999610491917786,1.0376658420899254,1.2920001573291824,keyword,wikipedia,World War II
germany,parole,121,80000,0.0015125,1.2015077545466324,0.005259475281636985,1.1776357919952394,True,657.2166666666667,930.2903692656714,1.4155002702290032,0.17201416838989275,0.9920579941060058,1.1583994939118092,keyword,wikipedia,World War II
forces,parole,88,80000,0.0011,1.2522020679656705,0.004943888746147821,1.22617455475444,True,864.551724137931,1205.3674896413136,1.39421096041792,0.16465172323374078,0.9860191729070177,1.2073910321862986,keyword,wikipedia,World War II
german,parole,91,80000,0.0011375,1.1987565713183852,0.0028049919985996857,1.1868514197033182,True,848.8888888888889,1246.7712497941866,1.4687095874538847,0.18986015602478806,1.0022701324587449,1.1927971768696262,keyword,wikipedia,World War II
japanese,parole,88,80000,0.0011,1.38629941371572,0.00831116997567008,1.380479935144711,True,895.3333333333334,1812.9887675652678,2.024931609343188,0.33882802711223425,1.0329424486210275,1.3587656966385853,keyword,wikipedia,World War II
japan,parole,84,80000,0.00105,1.3458157967629714,0.01458905285316739,1.2530927109686196,True,950.0843373493976,1439.2617450794871,1.5148778782048191,0.20473275568050703,1.0125324132515368,1.2646475089209546,keyword,wikipedia,World War II
union,parole,72,80000,0.0009,1.2916765339614016,0.013352153957662176,1.2012458908284493,True,1101.3521126760563,1551.4044982217295,1.4086362393695686,0.16965460898177148,0.9491074956522499,1.2374940760305158,keyword,wikipedia,World War II
war,parole,138,80000,0.001725,1.2379623920588232,0.00482316665099883,1.2200110707899923,True,582.7518248175182,905.5023531088233,1.5538387261032953,0.21686519216832262,1.0203717138169517,1.165437842165905,appaiata,wikipedia,World War II
was,parole,103,80000,0.0012875,0.9622597904832773,0.004035883803166609,0.9709532004203736,True,774.0980392156863,630.5634524144813,0.8145782839772675,-0.10218446768596696,1.0061202628946972,0.9085872301314505,appaiata,wikipedia,World War II
with,parole,85,80000,0.0010625,1.0818734768773246,0.006807636371329082,1.0478710917757634,True,847.547619047619,920.6866662791106,1.0862949120353582,0.04136275822633825,0.9095984813617918,1.077982295148623,appaiata,wikipedia,World War II
were,parole,70,80000,0.000875,1.2248374465873897,0.01216812415152434,1.1622945043325872,True,1146.5797101449275,1443.6306090772043,1.2590756633001379,0.11468215408140463,0.9567694208085676,1.1189937476848903,appaiata,wikipedia,World War II
